product_id,product_name,product_category,price
1,Apple,Fruits,29.54
2,Apricot,Beverages,34.93
3,Avocado,Baby Food,16.37
4,Banana,Vegetables,25.45
5,Bilberry,Clothes,49.21
6,Blackberry,Cereal,35.27
7,Blackcurrant,Cosmetics,17.00
8,Blueberry,Meat,24.12
9,Currant,Office Supplies,34.32
10,Cherry,Household,9.28
11,Cherimoya,Snacks,46.49
12,Clementine,Personal Care,48.48
13,Date,Hardware,0.14
14,Damson,Tech Hardware,6.34
15,Durian,,29.94
16,Eggplant,,5.94
17,Elderberry,,49.31
18,Feijoa,,21.76
19,Gooseberry,,8.13
20,Grape,,28.14
21,Grapefruit,,34.24
22,Guava,,47.84
23,Huckleberry,,16.26
24,Jackfruit,,47.70
25,Jambul,,32.87
26,Kiwi fruit,,11.89
27,Kumquat,,32.73
28,Legume,,43.52
29,Lemon,,35.37
30,Lime,,2.49
31,Lychee,,36.22
32,Mango,,2.67
33,Mangostine,,34.17
34,Melon,,20.95
35,Cantaloupe,,23.17
36,Honeydew melon,,18.09
37,Watermelon,,11.56
38,Rock melon,,30.57
39,Nectarine,,22.89
40,Orange,,20.88
41,Peach,,12.72
42,Pear,,36.01
43,Williams pear or Bartlett pear,,23.22
44,Pitaya,,25.14
45,Physalis,,26.07
46,Plum/prune (dried plum),,48.27
47,Pineapple,,2.31
48,Pomegranate,,47.27
49,Raisin,,2.44
50,Coca-Cola,,49.30
51,Pepsi,,28.75
52,Red Bull,,46.48
53,Nescafe,,26.33
54,Monster,,13.83
55,Sprite,,25.61
56,Gatorade,,27.80
57,Dr Pepper,,6.37
58,Mountain Dew,,38.62
59,Lipton,,40.56
60,Fanta,,4.84
61,7-Up,,9.27
62,Tropicana,,38.54
63,Lavazza,,37.47
64,Twinings,,22.48
65,Mirinda,,48.08
66,Milo,,38.62
67,Jacobs,,1.96
68,Aquafina,,21.98
69,Evian,,41.13
70,Folgers,,13.25
71,San Pellegrino,,18.82
72,Ovaltine,,49.24
73,Dasani,,18.37
74,Nespresso,,29.79
75,Water,,31.80
76,Chicken Sticks,,19.96
77,Turkey Sticks,,38.33
78,Gerber Graduate Fruit Strips,,38.71
79,Gerber Carrot and Squash,,7.89
80,Gerber Graduate Puffs Apple and Pear,,28.04
81,Gerber Mango and Kiwi,,24.94
82,Tropical Fruit Medley,,40.80
83,Macaroni with Tomato and Beef,,8.89
84,Cheese Filled Ravioli,,0.29
85,Beef Noodles,,37.91
86,Macaroni and Cheese,,35.62
87,Spaghetti with Tomato and Meat,,9.54
88,Vegetables and Beef,,49.42
89,Vegetables and Lamb,,16.29
90,Chicken Noodle Soup,,49.37
91,Chicken Stew,,32.22
92,Vegetables and Chicken,,35.28
93,Pasta and Vegetables ,,24.50
94,Turkey and Rice,,43.23
95,Turkey and Vegetables,,34.19
96,Green Beans,,8.15
97,Diced Green Beans,,28.67
98,Green Beans and Potatoes,,32.31
99,Carrots,,16.04
100,Gerber Dry Oatmeal,,37.72
101,Butternut Squash and Corn,,24.93
102,Diced Apples,,45.84
103,Applesauce,,8.47
104,Apricot and Tapioca,,35.34
105,Creamed Corn,,49.22
106,Creamed Corn with Vegetables,,31.26
107,Peas,,42.81
108,Diced Peas,,41.09
109,Creamed Spinach,,24.16
110,Bananas with Tapioca,,1.34
111,Peaches,,3.47
112,Pears,,37.62
113,Plums with Tapioca,,5.91
114,Prunes with Tapioca,,26.05
115,Mango with Tapioca,,11.52
116,Diced Pears,,24.90
117,Applesauce with Apricots,,45.05
118,Applesauce with Cherries,,10.46
119,Applesauce with Pineapples,,27.36
120,Apple and Raspberry Babyfood,,31.39
121,Apple and Blueberry Babyfood,,7.72
122,Apple Juice,,14.30
123,Cereal with Bananas,,21.59
124,Fruit Cookie,,36.10
125,China Jute,,23.92
126,Climbing wattle,,41.51
127,Paracress,,10.21
128,Common Marshmallow,,17.83
129,Purple amaranth,,22.96
130,Common amaranth,,16.11
131,Prickly amaranth,,13.19
132,Amaranth,,8.92
133,Slender amaranth,,10.75
134,Celery,,30.17
135,Garden orache,,9.13
136,Bank cress,,20.99
137,"Chik-nam, Kra don",,18.02
138,Indian spinach,,11.74
139,Chard,,7.33
140,Sea Beet,,16.87
141,Common Borage,,18.10
142,Abyssinian Cabbage,,4.37
143,Indian mustard,,37.34
144,Rutabaga,,6.30
145,Rape Kale,,14.58
146,Black Mustard,,11.12
147,Wild Cabbage,,0.02
148,Kale,,42.28
149,Kai-lan,,8.42
150,Cauliflower,,46.37
151,Cabbage,,36.30
152,Brussels Sprouts,,40.14
153,Broccoli,,21.26
154,Turnip,,40.76
155,Bok Choi,,45.18
156,Chinese Savoy,,8.64
157,Mizuna,,34.82
158,Napa Cabbage,,41.57
159,Rapini,,49.08
160,Rampion,,23.14
161,Harebell,,44.93
162,Caper,,2.71
163,Wild Coxcomb,,48.67
164,"Asian pennywort, Gotukola",,36.64
165,Lamb's Quarters,,3.26
166,American Wormseed,,40.11
167,Southern Huauzontle,,10.83
168,Good King Henry,,41.43
169,Tree Spinach,,23.57
170,Oak-Leaved Goosefoot,,29.71
171,Huauzontle,,32.65
172,Quinoa,,10.78
173,Shirt,,47.72
174,Pants,,10.21
175,Skirt,,45.37
176,Jorts,,31.84
177,Jacket,,11.74
178,Shoes,,4.39
179,Underwear,,0.33
180,Button-Down,,36.36
181,Tie,,37.45
